epochs,alpha,beta,epsilon,per_random_forest_n_estimators,per_random_forest_max_depth,mmd_kernel,random_state,baseline_random_state,run_id,meta_forests_accuracy,rf_baseline_accuracy,improvement,runtime
10,-2.0,0.5,1e-10,150,7,rbf,42,42,105,0.6150392817059483,0.6150392817059483,0.0,84.2792067527771
10,-2.0,0.5,1e-10,150,7,linear,42,42,106,0.6150392817059483,0.6150392817059483,0.0,82.65198421478271
10,-2.0,0.5,1e-10,150,7,poly,42,42,107,0.6150392817059483,0.6150392817059483,0.0,82.53066039085388
10,-2.0,2.0,1e-07,50,3,rbf,42,42,108,0.6150392817059483,0.08641975308641975,0.5286195286195285,19.47078585624695
10,-2.0,2.0,1e-07,50,3,linear,42,42,109,0.6150392817059483,0.08641975308641975,0.5286195286195285,18.317981481552124
10,-2.0,2.0,1e-07,50,3,poly,42,42,110,0.6150392817059483,0.08641975308641975,0.5286195286195285,18.661351919174194
10,-2.0,2.0,1e-07,50,5,rbf,42,42,111,0.6150392817059483,0.6150392817059483,0.0,25.702086448669434
10,-2.0,2.0,1e-07,50,5,linear,42,42,112,0.6150392817059483,0.6150392817059483,0.0,23.580981016159058
10,-2.0,2.0,1e-07,50,5,poly,42,42,113,0.6150392817059483,0.6150392817059483,0.0,24.300370693206787
10,-2.0,2.0,1e-07,50,7,rbf,42,42,114,0.6150392817059483,0.6150392817059483,0.0,30.268790245056152
10,-2.0,2.0,1e-07,50,7,linear,42,42,115,0.6150392817059483,0.6150392817059483,0.0,28.537449836730957
10,-2.0,2.0,1e-07,50,7,poly,42,42,116,0.6150392817059483,0.6150392817059483,0.0,29.03483486175537
10,-2.0,2.0,1e-07,150,3,rbf,42,42,117,0.6150392817059483,0.08641975308641975,0.5286195286195285,52.89090871810913
10,-2.0,2.0,1e-07,150,3,linear,42,42,118,0.6150392817059483,0.08641975308641975,0.5286195286195285,51.81127071380615
10,-2.0,2.0,1e-07,150,3,poly,42,42,119,0.6150392817059483,0.08641975308641975,0.5286195286195285,50.85434174537659
10,-2.0,2.0,1e-07,150,5,rbf,42,42,120,0.6150392817059483,0.6150392817059483,0.0,70.68774223327637
10,-2.0,2.0,1e-07,150,5,linear,42,42,121,0.6150392817059483,0.6150392817059483,0.0,69.05851149559021
10,-2.0,2.0,1e-07,150,5,poly,42,42,122,0.6150392817059483,0.6150392817059483,0.0,68.65702939033508
10,-2.0,2.0,1e-07,150,7,rbf,42,42,123,0.6150392817059483,0.6150392817059483,0.0,84.82642412185669
10,-2.0,2.0,1e-07,150,7,linear,42,42,124,0.6150392817059483,0.6150392817059483,0.0,82.24923300743103
10,-2.0,2.0,1e-07,150,7,poly,42,42,125,0.6150392817059483,0.6150392817059483,0.0,83.58235597610474
10,-2.0,2.0,1e-10,50,3,rbf,42,42,126,0.6150392817059483,0.08641975308641975,0.5286195286195285,19.452703952789307
10,-2.0,2.0,1e-10,50,3,linear,42,42,127,0.6150392817059483,0.08641975308641975,0.5286195286195285,18.086441040039062
10,-2.0,2.0,1e-10,50,3,poly,42,42,128,0.6150392817059483,0.08641975308641975,0.5286195286195285,18.081785917282104
10,-2.0,2.0,1e-10,50,5,rbf,42,42,129,0.6150392817059483,0.6150392817059483,0.0,25.893452167510986
10,-2.0,2.0,1e-10,50,5,linear,42,42,130,0.6150392817059483,0.6150392817059483,0.0,24.187216997146606
10,-2.0,2.0,1e-10,50,5,poly,42,42,131,0.6150392817059483,0.6150392817059483,0.0,24.48231291770935
10,-2.0,2.0,1e-10,50,7,rbf,42,42,132,0.6150392817059483,0.6150392817059483,0.0,29.96307063102722
10,-2.0,2.0,1e-10,50,7,linear,42,42,133,0.6150392817059483,0.6150392817059483,0.0,28.83974575996399
10,-2.0,2.0,1e-10,50,7,poly,42,42,134,0.6150392817059483,0.6150392817059483,0.0,28.561224937438965
10,-2.0,2.0,1e-10,150,3,rbf,42,42,135,0.6150392817059483,0.08641975308641975,0.5286195286195285,54.02551984786987
10,-2.0,2.0,1e-10,150,3,linear,42,42,136,0.6150392817059483,0.08641975308641975,0.5286195286195285,50.877776861190796
10,-2.0,2.0,1e-10,150,3,poly,42,42,137,0.6150392817059483,0.08641975308641975,0.5286195286195285,51.28840899467468
10,-2.0,2.0,1e-10,150,5,rbf,42,42,138,0.6150392817059483,0.6150392817059483,0.0,70.4904522895813
10,-2.0,2.0,1e-10,150,5,linear,42,42,139,0.6150392817059483,0.6150392817059483,0.0,68.71621870994568
10,-2.0,2.0,1e-10,150,5,poly,42,42,140,0.6150392817059483,0.6150392817059483,0.0,68.44544506072998
10,-2.0,2.0,1e-10,150,7,rbf,42,42,141,0.6150392817059483,0.6150392817059483,0.0,84.46528577804565
10,-2.0,2.0,1e-10,150,7,linear,42,42,142,0.6150392817059483,0.6150392817059483,0.0,85.33972668647766
10,-2.0,2.0,1e-10,150,7,poly,42,42,143,0.6150392817059483,0.6150392817059483,0.0,82.8791675567627
30,-0.5,0.5,1e-07,50,3,rbf,42,42,144,0.6150392817059483,0.08641975308641975,0.5286195286195285,52.0685601234436
30,-0.5,0.5,1e-07,50,3,linear,42,42,145,0.6150392817059483,0.08641975308641975,0.5286195286195285,46.34585452079773
30,-0.5,0.5,1e-07,50,3,poly,42,42,146,0.6150392817059483,0.08641975308641975,0.5286195286195285,46.14806771278381
30,-0.5,0.5,1e-07,50,5,rbf,42,42,147,0.6150392817059483,0.6150392817059483,0.0,65.13262462615967
30,-0.5,0.5,1e-07,50,5,linear,42,42,148,0.6150392817059483,0.6150392817059483,0.0,59.77377128601074
30,-0.5,0.5,1e-07,50,5,poly,42,42,149,0.6150392817059483,0.6150392817059483,0.0,60.44998598098755
30,-0.5,0.5,1e-07,50,7,rbf,42,42,150,0.6150392817059483,0.6150392817059483,0.0,75.29369616508484
30,-0.5,0.5,1e-07,50,7,linear,42,42,151,0.6150392817059483,0.6150392817059483,0.0,70.2496726512909
30,-0.5,0.5,1e-07,50,7,poly,42,42,152,0.6150392817059483,0.6150392817059483,0.0,69.75434470176697
30,-0.5,0.5,1e-07,150,3,rbf,42,42,153,0.6150392817059483,0.08641975308641975,0.5286195286195285,135.77211666107178
30,-0.5,0.5,1e-07,150,3,linear,42,42,154,0.6150392817059483,0.08641975308641975,0.5286195286195285,130.90229892730713
30,-0.5,0.5,1e-07,150,3,poly,42,42,155,0.6150392817059483,0.08641975308641975,0.5286195286195285,130.90896034240723
30,-0.5,0.5,1e-07,150,5,rbf,42,42,156,0.6150392817059483,0.6150392817059483,0.0,177.44060397148132
30,-0.5,0.5,1e-07,150,5,linear,42,42,157,0.6150392817059483,0.6150392817059483,0.0,171.20280075073242
30,-0.5,0.5,1e-07,150,5,poly,42,42,158,0.6150392817059483,0.6150392817059483,0.0,174.10856699943542
30,-0.5,0.5,1e-07,150,7,rbf,42,42,159,0.6150392817059483,0.6150392817059483,0.0,206.5368368625641
30,-0.5,0.5,1e-07,150,7,linear,42,42,160,0.6150392817059483,0.6150392817059483,0.0,202.34897780418396
30,-0.5,0.5,1e-07,150,7,poly,42,42,161,0.6150392817059483,0.6150392817059483,0.0,201.61679410934448
30,-0.5,0.5,1e-10,50,3,rbf,42,42,162,0.6150392817059483,0.08641975308641975,0.5286195286195285,51.3607816696167
30,-0.5,0.5,1e-10,50,3,linear,42,42,163,0.6150392817059483,0.08641975308641975,0.5286195286195285,46.574193239212036
30,-0.5,0.5,1e-10,50,3,poly,42,42,164,0.6150392817059483,0.08641975308641975,0.5286195286195285,46.389806032180786
30,-0.5,0.5,1e-10,50,5,rbf,42,42,165,0.6150392817059483,0.6150392817059483,0.0,66.1159451007843
30,-0.5,0.5,1e-10,50,5,linear,42,42,166,0.6150392817059483,0.6150392817059483,0.0,60.307414293289185
30,-0.5,0.5,1e-10,50,5,poly,42,42,167,0.6150392817059483,0.6150392817059483,0.0,60.55303454399109
30,-0.5,0.5,1e-10,50,7,rbf,42,42,168,0.6150392817059483,0.6150392817059483,0.0,74.97110915184021
30,-0.5,0.5,1e-10,50,7,linear,42,42,169,0.6150392817059483,0.6150392817059483,0.0,70.04732084274292
30,-0.5,0.5,1e-10,50,7,poly,42,42,170,0.6150392817059483,0.6150392817059483,0.0,70.48299646377563
30,-0.5,0.5,1e-10,150,3,rbf,42,42,171,0.6150392817059483,0.08641975308641975,0.5286195286195285,135.66483068466187
30,-0.5,0.5,1e-10,150,3,linear,42,42,172,0.6150392817059483,0.08641975308641975,0.5286195286195285,130.75564551353455
30,-0.5,0.5,1e-10,150,3,poly,42,42,173,0.6150392817059483,0.08641975308641975,0.5286195286195285,130.66983795166016
30,-0.5,0.5,1e-10,150,5,rbf,42,42,174,0.6150392817059483,0.6150392817059483,0.0,176.94433879852295
30,-0.5,0.5,1e-10,150,5,linear,42,42,175,0.6150392817059483,0.6150392817059483,0.0,171.49294686317444
30,-0.5,0.5,1e-10,150,5,poly,42,42,176,0.6150392817059483,0.6150392817059483,0.0,170.87498331069946
30,-0.5,0.5,1e-10,150,7,rbf,42,42,177,0.6150392817059483,0.6150392817059483,0.0,205.87555170059204
30,-0.5,0.5,1e-10,150,7,linear,42,42,178,0.6150392817059483,0.6150392817059483,0.0,201.29965567588806
30,-0.5,0.5,1e-10,150,7,poly,42,42,179,0.6150392817059483,0.6150392817059483,0.0,200.9332640171051
30,-0.5,2.0,1e-07,50,3,rbf,42,42,180,0.6150392817059483,0.08641975308641975,0.5286195286195285,51.54994201660156
